user_id,email,password,role
1,NilsaJFrancis@armyspy.com,Aijei5aSh,student
2,JonathanJPaulson@armyspy.com,phe6toh5Ohph,student
3,DorothyRStringer@armyspy.com,eiPeepah0,student
4,IsmaelHLLester@armyspy.com,Vugher9ei,student
5,MarkSDonofrio@armyspy.com,dooti4bu3Ph,student
6,BernitaRSwisher@armyspy.com,oJeiwa1ce,student
7,JakeJSykes@armyspy.com,eiL0vaghaeTh,student
8,AlexandraRNelson@armyspy.com,Nooh1ahh3,student
9,WillieBLiebermen@armyspy.com,eiNgaiS1oo,student
10,KeithJGreen@armyspy.com,vae0iu7he2Ae,student
11,antwon.pouros@howell.com,fBM74Phc,business
12,otis.crooks@spinka.com,GkJ2YhLT,business
13,brenda.quigley@durgan.com,sut3QZ6S,business
14,littel.angelo@kertzmann.com,ZN8z6qT8,business
15,melba35@franecki.com,Gv8Afk9v,business
16,barry.lowe@herzog.com,b5N8bQ5x,business
17,ari.ankunding@mohr.com,pS5SCpPf,business
18,weissnat.jamir@skiles.info,LP2y5K3w,business
19,brussel@murphy.info,55QVjMyC,business
20,merlin.runte@jenkins.com,sA8zgSSk,business
21,noble48@mraz.com,CPcn3Xu9,business
22,bella32@harber.com,5QrE6nbq,business
23,orlo.herzog@kutch.com,G56sx2ua,business
24,willy62@bogisich.com,DW8cb8B2,business
25,rpadberg@lockman.info,4MqezP7W,business
26,brad.berge@grimes.com,2czMGFgX,business
27,destany72@wisozk.com,PDpwD5y8,business
28,hessel.alda@luettgen.com,nJbzR99W,business
29,ike.jast@bashirian.com,an2TH48f,business
30,vmarvin@bogan.com,dzmUjW7w,business
